id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-12-25T03:57:57;payment unleash Jamaican Dollar;1
2;Rest;2020-12-25T23:14:27;Plains;2
3;Quality Plastic plum;2020-12-25T03:34:49;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-12-26T00:02:01;Architect SSL;4
5;zero tolerance;2020-12-25T20:58:20;user-facing CSS;5
6;ADP Ouguiya;2020-12-25T16:54:48;Garden;6
7;auxiliary;2020-12-26T01:10:48;functionalities Bedfordshire withdrawal;7
8;Data;2020-12-25T04:08:49;Viaduct hybrid;8
9;mesh;2020-12-26T02:34:28;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-12-26T00:33:22;Re-engineered withdrawal Ball;10
